idx_type,op_type,skew,batch_size,evaluation_set_size,threshold,test_throughput,test_communication,test_component_time,test_energy,throughput,comm_dram,comm_pim,time_cpu,time_comm,time_load,time_pim,energy_cpu,energy_comm,energy_pim
pim_tree,wiki_insert,1.0,2000000,200000000,,True,True,False,False,10858588.600653686,502.912,130.6390528,,,,,,,
ab-tree,wiki_predecessor,1.0,2000000,200000000,,True,True,False,False,nan,nan,nan,,,,,,,
ab-tree,wiki_insert,1.0,2000000,200000000,,True,True,False,False,nan,nan,nan,,,,,,,
bst,wiki_predecessor,1.0,2000000,200000000,,True,True,False,False,nan,nan,nan,,,,,,,
bst,wiki_insert,1.0,2000000,200000000,,True,True,False,False,nan,nan,nan,,,,,,,
pim_tree,ycsb_a,0.0,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
pim_tree,ycsb_a,1.0,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
pim_tree,ycsb_b,0.0,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
pim_tree,ycsb_b,1.0,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
pim_tree,ycsb_c,0.0,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
pim_tree,ycsb_c,1.0,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
pim_tree,ycsb_d,0.0,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
pim_tree,ycsb_d,1.0,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
pim_tree,ycsb_e,0.0,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
pim_tree,ycsb_e,1.0,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
pim_tree,micro_predecessor,1.0,1000000,100000000,8,True,True,False,False,12018725.173820814,557.0304,144.04943872,,,,,,,
pim_tree,micro_predecessor,1.0,1000000,100000000,16,True,True,False,False,12123519.263665933,533.5168,129.82452224,,,,,,,
pim_tree,micro_predecessor,1.0,1000000,100000000,24,True,True,False,False,12045638.515206415,525.8624,124.47350784,,,,,,,
pim_tree,micro_predecessor,1.0,1000000,100000000,32,True,True,False,False,12227689.357997397,523.0592,121.42657536,,,,,,,
