idx_type,op_type,skew,batch_size,evaluation_set_size,threshold,test_throughput,test_communication,test_component_time,test_energy,throughput,comm_dram,comm_pim,time_cpu,time_comm,time_load,time_pim,energy_cpu,energy_comm,energy_pim
range_partitioning,micro_scan,1.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,1918170.832,,,,,,,,,
range_partitioning,micro_scan,1.2,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,1084927.001,,,,,,,,,
pim_tree,wiki_predecessor,1.0,2000000,200000000,,TRUE,TRUE,FALSE,FALSE,22715321.37,355.744,40.20666368,,,,,,,
pim_tree,wiki_insert,1.0,2000000,200000000,,TRUE,TRUE,FALSE,FALSE,10858588.6,661.1456,130.6390528,,,,,,,
ab-tree,wiki_predecessor,1.0,2000000,200000000,,TRUE,TRUE,FALSE,FALSE,27899300,636.82496,0,,,,,,,
ab-tree,wiki_insert,1.0,2000000,200000000,,TRUE,TRUE,FALSE,FALSE,86588100,973.4272,0,,,,,,,
bst,wiki_predecessor,1.0,2000000,200000000,,TRUE,TRUE,FALSE,FALSE,17841800,884.1888,0,,,,,,,
bst,wiki_insert,1.0,2000000,200000000,,TRUE,TRUE,FALSE,FALSE,5140870,2045.152,0,,,,,,,
pim_tree,ycsb_a,0.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,nan,,,,,,,,,
pim_tree,ycsb_a,1.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,nan,,,,,,,,,
pim_tree,ycsb_b,0.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,nan,,,,,,,,,
pim_tree,ycsb_b,1.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,nan,,,,,,,,,
pim_tree,ycsb_c,0.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,nan,,,,,,,,,
pim_tree,ycsb_c,1.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,nan,,,,,,,,,
pim_tree,ycsb_d,0.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,nan,,,,,,,,,
pim_tree,ycsb_d,1.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,nan,,,,,,,,,
pim_tree,ycsb_e,0.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,nan,,,,,,,,,
pim_tree,ycsb_e,1.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,nan,,,,,,,,,
pim_tree,micro_predecessor,1.0,1000000,100000000,8,TRUE,TRUE,FALSE,FALSE,12018725.17,557.0304,144.0494387,,,,,,,
pim_tree,micro_predecessor,1.0,1000000,100000000,16,TRUE,TRUE,FALSE,FALSE,12123519.26,533.5168,129.8245222,,,,,,,
pim_tree,micro_predecessor,1.0,1000000,100000000,24,TRUE,TRUE,FALSE,FALSE,12045638.52,525.8624,124.4735078,,,,,,,
pim_tree,micro_predecessor,1.0,1000000,100000000,32,TRUE,TRUE,FALSE,FALSE,12227689.36,523.0592,121.4265754,,,,,,,
